UIAutomation 2.0.14 (Python 3.7.4, 64 bit)
2021-07-30 15:40:19.188 automation.py[79] main -> Starts, Current Cursor Position: (998, 428)
                                    ControlType: ListControl    ClassName:     AutomationId:     Rect: (0,0,0,0)[0x0]    Name:     Handle: 0x0(0)    Depth: 9    SupportedPattern: LegacyIAccessiblePattern SelectionPattern
                                        ControlType: ListItemControl    ClassName:     AutomationId:     Rect: (1,1,639,41)[638x40]    Name: 仅麦克风    Handle: 0x0(0)    Depth: 10    SelectionItemPattern.IsSelected: False    SupportedPattern: InvokePattern LegacyIAccessiblePattern SelectionItemPattern
                                        ControlType: ListItemControl    ClassName:     AutomationId:     Rect: (1,41,639,81)[638x40]    Name: 仅系统声音    Handle: 0x0(0)    Depth: 10    SelectionItemPattern.IsSelected: False    SupportedPattern: InvokePattern LegacyIAccessiblePattern SelectionItemPattern
                                        ControlType: ListItemControl    ClassName:     AutomationId:     Rect: (1,81,639,121)[638x40]    Name: 麦和系统声音    Handle: 0x0(0)    Depth: 10    SelectionItemPattern.IsSelected: False    SupportedPattern: InvokePattern LegacyIAccessiblePattern SelectionItemPattern
                                        ControlType: ListItemControl    ClassName:     AutomationId:     Rect: (1,121,639,161)[638x40]    Name: 不录音频    Handle: 0x0(0)    Depth: 10    SelectionItemPattern.IsSelected: False    SupportedPattern: InvokePattern LegacyIAccessiblePattern SelectionItemPattern
                                ControlType: CustomControl    ClassName:     AutomationId:     Rect: (178,391,538,421)[360x30]    Name:     Handle: 0x0(0)    Depth: 8    SupportedPattern: LegacyIAccessiblePattern
                                ControlType: TextControl    ClassName:     AutomationId:     Rect: (178,421,246,438)[68x17]    Name: 辅助工具    Handle: 0x0(0)    Depth: 8    SupportedPattern: LegacyIAccessiblePattern
                                ControlType: CustomControl    ClassName:     AutomationId:     Rect: (178,438,196,514)[18x76]    Name:     Handle: 0x0(0)    Depth: 8    SupportedPattern: LegacyIAccessiblePattern
                                ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (196,438,278,514)[82x76]    Name:     Handle: 0x0(0)    Depth: 8    SupportedPattern: InvokePattern LegacyIAccessiblePattern
                                    ControlType: TextControl    ClassName:     AutomationId:     Rect: (196,438,256,486)[60x48]    Name:     Handle: 0x0(0)    Depth: 9    SupportedPattern: LegacyIAccessiblePattern
                                    ControlType: TextControl    ClassName:     AutomationId:     Rect: (196,486,278,514)[82x28]    Name: 图片水印    Handle: 0x0(0)    Depth: 9    SupportedPattern: LegacyIAccessiblePattern
                                ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (278,438,360,514)[82x76]    Name:     Handle: 0x0(0)    Depth: 8    SupportedPattern: InvokePattern LegacyIAccessiblePattern
                                    ControlType: TextControl    ClassName:     AutomationId:     Rect: (278,438,338,486)[60x48]    Name:     Handle: 0x0(0)    Depth: 9    SupportedPattern: LegacyIAccessiblePattern
                                    ControlType: TextControl    ClassName:     AutomationId:     Rect: (278,486,360,514)[82x28]    Name: 文字水印    Handle: 0x0(0)    Depth: 9    SupportedPattern: LegacyIAccessiblePattern
                                ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (360,438,442,514)[82x76]    Name:     Handle: 0x0(0)    Depth: 8    SupportedPattern: InvokePattern LegacyIAccessiblePattern
                                    ControlType: TextControl    ClassName:     AutomationId:     Rect: (360,438,420,486)[60x48]    Name:     Handle: 0x0(0)    Depth: 9    SupportedPattern: LegacyIAccessiblePattern
                                    ControlType: TextControl    ClassName:     AutomationId:     Rect: (360,486,442,514)[82x28]    Name: 嵌入摄像头    Handle: 0x0(0)    Depth: 9    SupportedPattern: LegacyIAccessiblePattern
                                ControlType: CheckBoxControl    ClassName:     AutomationId:     Rect: (442,438,524,514)[82x76]    Name:     Handle: 0x0(0)    Depth: 8    TogglePattern.ToggleState: ToggleState.Off    SupportedPattern: InvokePattern LegacyIAccessiblePattern TogglePattern
                                    ControlType: TextControl    ClassName:     AutomationId:     Rect: (442,438,502,486)[60x48]    Name:     Handle: 0x0(0)    Depth: 9    SupportedPattern: LegacyIAccessiblePattern
                                    ControlType: TextControl    ClassName:     AutomationId:     Rect: (442,486,524,514)[82x28]    Name: 定时录制    Handle: 0x0(0)    Depth: 9    SupportedPattern: LegacyIAccessiblePattern
                                ControlType: CustomControl    ClassName:     AutomationId:     Rect: (178,514,196,590)[18x76]    Name:     Handle: 0x0(0)    Depth: 8    SupportedPattern: LegacyIAccessiblePattern
                                ControlType: CheckBoxControl    ClassName:     AutomationId:     Rect: (196,514,278,590)[82x76]    Name:     Handle: 0x0(0)    Depth: 8    TogglePattern.ToggleState: ToggleState.Off    SupportedPattern: InvokePattern LegacyIAccessiblePattern TogglePattern
